id;document_path;is_validated;validated_by;validated_time;createdd_by;created_time;updated_by;updated_time
1;hence typeface;false;appliance executor;2025-03-11T15:46:45;meanwhile except eek;2025-03-10T18:08:06;while lucky;2025-03-11T11:05:10
2;ferociously hmph;false;airmail;2025-03-11T03:34:03;up;2025-03-10T23:23:18;imagineer cleverly;2025-03-10T19:16:51
3;supposing;true;pronoun when;2025-03-11T07:55:46;so absent;2025-03-11T06:07:56;so;2025-03-11T05:37:44
4;even;true;climb potentially;2025-03-11T13:44:38;yahoo whose tightly;2025-03-11T14:31:11;usefully unsightly;2025-03-11T10:25:33
5;athwart tighten;true;jaywalk;2025-03-11T16:50:44;likewise;2025-03-11T07:52:16;pish exhausted adumbrate;2025-03-11T14:04:57
6;regulate supposing;false;petal capitalise;2025-03-10T23:49:20;unselfish downchange;2025-03-11T14:18:54;curse usually yum;2025-03-10T18:39:12
7;ouch;true;indeed sedately strong;2025-03-11T12:29:14;hidden slime hence;2025-03-11T10:35:09;cleverly in;2025-03-10T20:02:44
8;forgo;false;of;2025-03-11T00:40:20;colorful lift knottily;2025-03-11T12:30:23;enthusiastically and onto;2025-03-11T14:11:31
9;anxiously forenenst and;true;down chatter ribbon;2025-03-11T17:10:47;nucleotidase;2025-03-10T18:45:26;weary;2025-03-11T14:11:26
10;countess;true;cumbersome suitcase;2025-03-11T13:31:54;smuggle;2025-03-10T20:51:09;painfully antagonize veto;2025-03-10T18:27:35
