id;skill_type;join_type;createdd_by;created_time;updated_by;updated_time
1;LOCATIONSKILL;ORJOIN;circumference shoulder;2025-03-11T12:53:11;carefree pillbox;2025-03-10T23:59:20
2;LOCATIONSKILL;ORJOIN;swing gorgeous quart;2025-03-11T11:00:07;engage long-term madly;2025-03-11T13:55:46
3;BRANDSKILL;ANDJOIN;even broadside;2025-03-11T16:33:16;but well-documented;2025-03-11T14:12:43
4;LANGUAGESKILL;ANDJOIN;shrilly;2025-03-11T11:44:03;inasmuch neatly;2025-03-11T05:36:03
5;CATEGORYSKILL;ANDJOIN;whereas;2025-03-11T14:19:42;because;2025-03-10T21:19:08
6;BRANDSKILL;ANDJOIN;into brr;2025-03-10T22:06:10;until;2025-03-10T21:24:40
7;LOCATIONSKILL;ANDJOIN;whether barring deeply;2025-03-10T21:34:04;pace hawk;2025-03-11T01:07:32
8;BRANDSKILL;ORJOIN;boo;2025-03-10T23:03:26;or;2025-03-10T22:50:02
9;PINCODESKILL;ORJOIN;yowza;2025-03-10T22:51:16;oh;2025-03-11T04:35:34
10;BRANDSKILL;ANDJOIN;harp;2025-03-11T11:55:22;draw aha;2025-03-11T16:52:20
