id;sort_type;createdd_by;created_time;updated_by;updated_time
1;EXPERIENCELEVEL;upsell;2025-03-11T14:54:24;deep electrify;2025-03-11T16:01:52
2;NPS;how;2025-03-11T16:10:24;whoa;2025-03-11T04:46:43
3;EXPERIENCELEVEL;impractical supposing;2025-03-11T16:38:43;enhance supposing;2025-03-11T10:54:23
4;PROXIMITY;controvert break;2025-03-10T23:31:31;painfully pleasure;2025-03-11T04:53:55
5;ROUNDROBIN;untidy ouch meanwhile;2025-03-11T10:17:42;formation;2025-03-10T19:31:50
6;EXPERIENCELEVEL;inasmuch pocket-watch;2025-03-11T11:26:44;queasily tensely;2025-03-11T15:02:54
7;EXPERIENCELEVEL;beneath accomplished;2025-03-11T09:38:55;certainly;2025-03-11T18:04:30
8;ROUNDROBIN;duh;2025-03-11T03:37:50;ew;2025-03-10T19:27:45
9;PROXIMITY;when following;2025-03-11T11:49:17;silver;2025-03-10T20:59:59
10;EXPERIENCELEVEL;mmm quinoa uh-huh;2025-03-11T10:12:48;without beard;2025-03-11T14:07:59
