id;rule_type;join_type;createdd_by;created_time;updated_by;updated_time
1;BRANDRULE;ANDJOIN;psst up whether;2025-03-11T14:57:01;other blah brr;2025-03-11T08:06:37
2;LOCALITYRULE;ANDJOIN;as;2025-03-11T10:44:10;grass;2025-03-11T04:03:52
3;BRANDRULE;ANDJOIN;smuggle dark;2025-03-11T03:30:21;gummy mortar;2025-03-11T15:58:11
4;BRANDRULE;ORJOIN;earth um draft;2025-03-11T02:47:19;into dramatic;2025-03-11T11:09:21
5;BRANDRULE;ANDJOIN;deduction warmhearted;2025-03-10T18:55:56;partially;2025-03-11T03:22:06
6;BRANDRULE;ORJOIN;blah whenever bandwidth;2025-03-11T09:01:29;sadly loudly inside;2025-03-10T21:07:05
7;LOCALITYRULE;ORJOIN;ah though;2025-03-11T08:35:29;questionably;2025-03-10T19:20:28
8;BRANDRULE;ORJOIN;huzzah sadly;2025-03-11T12:04:29;meh ripe team;2025-03-11T15:01:23
9;LOCALITYRULE;ORJOIN;underneath late linear;2025-03-10T18:12:15;while duh;2025-03-11T09:43:06
10;BRANDRULE;ORJOIN;down hence widow;2025-03-11T07:58:56;yuck when aha;2025-03-11T12:20:38
