id;name;sort_type;priority;is_active;createdd_by;created_time;updated_by;updated_time
1;bootleg lest numeric;NPS;21812;false;council on questioningly;2025-03-11T08:41:26;made-up;2025-03-10T18:45:47
2;unwieldy helpless;NPS;29815;false;worriedly yowza;2025-03-11T08:01:06;why though;2025-03-11T06:41:36
3;likewise;NPS;30214;false;pish overheard;2025-03-11T03:53:12;fill;2025-03-11T03:07:09
4;muddy afraid;ROUNDROBIN;4301;false;without;2025-03-11T03:07:43;calmly wallop rosemary;2025-03-11T12:54:47
5;minister barring but;ROUNDROBIN;23442;false;midst;2025-03-10T17:13:35;failing clamour ha;2025-03-10T19:35:59
6;um boring mmm;ROUNDROBIN;2391;false;purple;2025-03-10T22:21:13;scuttle;2025-03-11T07:43:24
7;fun;NPS;11268;false;accredit repeatedly even;2025-03-10T19:52:20;frizzy mid however;2025-03-11T06:43:26
8;um though;NPS;25614;false;kookily indelible;2025-03-11T02:43:37;ew commemorate whose;2025-03-11T13:15:46
9;collaborate deadly;NPS;13902;true;likewise shear;2025-03-11T09:58:52;aware;2025-03-10T23:48:19
10;corny;ROUNDROBIN;16081;true;arid modulo;2025-03-10T21:54:26;youthfully;2025-03-10T23:13:01
