id;brand;createdd_by;created_time;updated_by;updated_time
1;Sony;vibraphone battle;2025-02-20T19:27:47;whoever embarrassment;2025-02-20T07:36:51
2;Hitachi;milestone;2025-02-20T12:50:27;concrete;2025-02-20T23:22:22
3;LG;habit;2025-02-20T13:47:18;yahoo;2025-02-21T01:54:39
4;Samsung;tough;2025-02-20T17:05:56;stigmatize;2025-02-20T18:09:14
5;Kelvinator;syringe;2025-02-20T13:55:31;ponder expostulate;2025-02-20T19:01:12
6;BPL;fast;2025-02-20T05:24:48;before;2025-02-20T10:47:44
7;Kelvinator;inasmuch;2025-02-21T00:01:35;whoever;2025-02-21T02:08:29
8;Sony;outrageous exhaust;2025-02-20T19:50:16;unique;2025-02-20T18:45:38
9;BPL;considering bright tense;2025-02-21T01:02:36;up writ;2025-02-20T12:43:05
10;Kelvinator;proper the till;2025-02-21T00:56:27;nightlife meanwhile;2025-02-20T07:13:20
