id;service_category;createdd_by;created_time;updated_by;updated_time
1;AC;inside uselessly whereas;2025-02-20T15:06:31;across;2025-02-20T20:58:58
2;Other;of famously between;2025-02-21T03:39:19;trouser furiously loudly;2025-02-21T03:44:50
3;TV;coagulate woot boohoo;2025-02-20T20:37:04;sashay;2025-02-20T13:58:02
4;Laptop;substantial season posh;2025-02-20T08:29:16;coaxingly once;2025-02-20T08:30:09
5;TV;natural practical row;2025-02-20T14:06:00;zowie um psst;2025-02-20T09:11:27
6;Laptop;besides failing;2025-02-20T08:17:14;gadzooks spattering;2025-02-20T23:21:20
7;Refrigerator;antagonize hm annually;2025-02-20T20:42:56;warmly fabricate;2025-02-20T05:14:10
8;Phone;saw boohoo;2025-02-20T09:17:46;gallery dramatic ham;2025-02-20T05:07:02
9;Laptop;thrifty;2025-02-20T05:58:19;neatly er puff;2025-02-20T20:23:57
10;TV;qua;2025-02-20T15:23:58;miserably;2025-02-20T20:28:59
