id;performance_score;performance_tag;updated_by;updated_time;createdd_by;created_time
1;13941.18;Low;enfold;2025-02-20T19:44:47;elliptical minister tenderly;2025-02-20T21:34:58
2;5127.05;Medium;optimal pretty reclassify;2025-02-20T15:47:25;guard;2025-02-20T16:59:32
3;23163.66;High;blah because;2025-02-20T06:53:44;politely;2025-02-20T08:56:36
4;26469.05;Medium;edible phew boo;2025-02-20T16:59:53;boo minus;2025-02-20T23:09:37
5;4162.81;High;faithfully;2025-02-20T23:11:16;where why;2025-02-20T05:39:01
6;20426.85;Low;where notarize;2025-02-20T08:38:11;out uh-huh amidst;2025-02-21T02:05:22
7;21004.19;High;delirious;2025-02-20T14:54:08;topsail approximate though;2025-02-20T23:40:10
8;30652.25;High;vaguely scarcely when;2025-02-21T02:56:20;morning abaft;2025-02-21T00:22:53
9;7230.33;Medium;yet;2025-02-20T12:10:22;aha generously;2025-02-20T12:57:23
10;24625.62;Low;zowie;2025-02-20T04:44:39;adrenalin;2025-02-20T09:31:38
