id;franchise_satus;updated_by;updated_time
1;PendingApproval;nor;2025-02-20T21:42:36
2;Blocked;since soybean;2025-02-21T00:42:44
3;PendingApproval;assured even;2025-02-20T15:39:17
4;Blocked;secularize and black;2025-02-20T06:40:36
5;Active;soup low seriously;2025-02-20T08:44:35
6;Active;ceramics;2025-02-21T02:15:27
7;PendingApproval;till;2025-02-20T22:59:54
8;Blocked;swath;2025-02-20T15:22:00
9;PendingApproval;so rightfully feline;2025-02-21T03:51:34
10;Blocked;forenenst hotfoot gee;2025-02-20T15:23:10
