id;hsn_cd;description;tax_rate;createdd_by;created_time;updated_by;updated_time
1;for disk far;shallow smoothly;6589.37;valentine finally eek;2025-03-11T08:34:50;precious how;2025-03-11T03:37:39
2;decouple ack;newsletter yippee once;11084.52;cook with;2025-03-11T11:06:39;joyfully acidly;2025-03-10T19:23:28
3;nearly or ha;ew;29029.34;super;2025-03-11T12:11:47;disappointment;2025-03-11T08:20:03
4;per;jive;808.89;instead along desk;2025-03-10T18:31:49;ah;2025-03-11T11:45:53
5;guest;writ oh although;16514.53;cap till;2025-03-11T13:31:56;aw vain;2025-03-10T18:11:27
6;procrastinate;gosh beside;29027.37;celebrated;2025-03-11T13:22:41;brochure;2025-03-11T14:01:28
7;citizen;ah stir-fry out;21530.96;numeric;2025-03-11T02:16:24;wherever;2025-03-11T10:47:32
8;but fabricate;phew crowded rejoin;20221.04;lyre table;2025-03-11T04:09:58;wee;2025-03-11T01:23:03
9;service awkwardly;per furthermore flustered;30865.29;blah sunbeam packaging;2025-03-11T10:48:58;slowly roadway;2025-03-11T09:08:29
10;vet as;zowie blissfully;28802.25;bin pfft once;2025-03-11T08:21:37;truthfully ouch yahoo;2025-03-11T04:02:32
