id;inventory_value;is_sellable;createdd_by;created_time;updated_by;updated_time
1;27470;false;live;2025-03-10T22:20:28;dandelion ack;2025-03-11T05:23:51
2;27104;false;irritably;2025-03-11T05:00:10;yahoo zowie;2025-03-11T10:43:58
3;32396;true;well-off psst without;2025-03-11T08:25:39;furiously second blank;2025-03-11T18:58:16
4;14542;false;blah;2025-03-11T02:22:41;er colossal;2025-03-11T19:22:40
5;16108;false;worst usually;2025-03-11T00:41:18;ribbon regarding;2025-03-11T02:42:03
6;13256;false;brightly publication sting;2025-03-11T03:59:04;minority twist;2025-03-10T21:03:43
7;25475;false;nifty under;2025-03-10T23:11:59;in gratefully boring;2025-03-11T09:47:29
8;20869;false;yowza stoop squirm;2025-03-11T09:54:53;amendment along;2025-03-11T05:05:30
9;25831;true;grubby fiercely electrify;2025-03-11T00:23:26;who pause dial;2025-03-10T19:52:02
10;28158;false;likewise drat;2025-03-11T12:48:23;gift;2025-03-11T10:31:50
