id;inventory_value;reason;updated_by;updated_time
1;16079;RETURNREJECTED;indeed;2025-03-11T18:56:08
2;17459;ORDERCONFIRMED;yet neglected whether;2025-03-11T15:20:02
3;31863;ORDERINIT;unnecessarily clueless;2025-03-11T05:55:10
4;30386;ORDERCONFIRMED;wherever mid;2025-03-11T18:09:52
5;7841;ADJUSTMENTDAMAGED;prejudge yippee;2025-03-10T23:02:11
6;22269;ORDERINIT;going;2025-03-11T05:33:38
7;3374;RETURNAPPROVED;spice duh;2025-03-10T19:43:54
8;5669;RETURNRECEIVED;ouch aw;2025-03-10T21:09:08
9;17023;ADJUSTMENTDAMAGED;underneath until;2025-03-10T23:18:22
10;19560;ADJUSTMENTOTHERS;how;2025-03-10T23:50:51
