id;name;location_type;is_active;createdd_by;created_time;updated_by;updated_time
1;observe perfection healthily;MOTHERCOMPANY;false;newsletter brr;2025-03-11T02:51:58;popularize pixellate;2025-03-11T17:33:17
2;fooey usefully;ENGINEER;true;dazzling summary;2025-03-11T00:14:18;trim impassioned probate;2025-03-11T19:04:58
3;heighten materialise minus;MOTHERCOMPANY;true;handsome abaft lightly;2025-03-11T01:22:26;insecure where now;2025-03-11T10:29:49
4;minty;MOTHERCOMPANY;true;respectful house;2025-03-10T21:15:21;silt eek;2025-03-11T17:50:09
5;if glow ack;FRANCHISE;false;incidentally respray excitedly;2025-03-11T01:37:42;a tomb;2025-03-11T12:45:04
6;ack;FRANCHISE;false;funny pushy bleakly;2025-03-11T13:04:48;gadzooks anxiously;2025-03-11T02:57:52
7;exterior twine madly;MOTHERCOMPANY;false;dutiful trial hunger;2025-03-11T18:53:54;whether harangue besides;2025-03-11T02:24:35
8;towards;MOTHERCOMPANY;true;throughout courteous apostrophize;2025-03-11T02:10:21;athwart;2025-03-10T21:50:08
9;than bicycle;FRANCHISE;true;now boohoo duh;2025-03-11T06:10:45;unwieldy till;2025-03-11T14:17:07
10;hoot;ENGINEER;true;till than electronics;2025-03-11T10:01:59;rightfully think;2025-03-10T22:40:41
