id;lang;createdd_by;created_time;updated_by;updated_time
1;Telegu;tame woeful;2025-03-11T11:33:24;mortally portly medium;2025-03-10T20:05:03
2;Kashmiri;and amidst pish;2025-03-11T12:09:35;chasuble cemetery psst;2025-03-11T13:37:37
3;Malayalam;questionable an;2025-03-10T21:23:33;fooey home versus;2025-03-11T01:54:39
4;Malayalam;very oh edible;2025-03-10T19:23:27;gosh;2025-03-11T05:08:13
5;Panjabi;above nearly;2025-03-11T09:29:26;er;2025-03-11T09:34:00
6;English;instructive highly nor;2025-03-11T10:15:13;first;2025-03-11T04:10:20
7;Marathi;hmph;2025-03-10T22:53:11;oxygenate puritan;2025-03-11T07:08:42
8;Bengali;openly;2025-03-11T12:25:33;boohoo;2025-03-11T05:10:57
9;Kashmiri;splay;2025-03-11T17:09:27;version;2025-03-11T01:10:16
10;Kanada;mmm;2025-03-10T22:51:49;triangular atop despite;2025-03-11T16:29:09
