id;price;tax;franchise_commission;franchise_tax;update_description;updated_by;updated_time
1;9618.13;28332.01;10890.88;31132.69;uselessly comb;reluctantly brisk;2025-03-10T21:55:47
2;2650.5;24891.95;19256.29;10914.98;knowingly hoot whenever;interchange;2025-03-11T08:25:51
3;25693.17;22624.05;20355.33;20652.72;muscat;raw drat;2025-03-11T10:59:55
4;15565.12;11506.62;13875.71;27873.16;browse tenant partially;eek adventurously;2025-03-11T15:32:22
5;11906.82;19180.27;22394.19;8490.74;revitalise searchingly er;dazzling strategy meh;2025-03-11T07:24:27
6;9590.14;5072.22;1623.29;25728.88;preregister;around nifty ew;2025-03-11T11:57:47
7;4543.02;11413.32;8449.07;8209.28;scrutinise;blindly swanling storyboard;2025-03-11T05:39:28
8;32651.35;16416.56;3296.9;7141.26;brightly hmph;instruction summer;2025-03-11T10:35:50
9;32658.17;8770.75;7429.73;24002.45;militate;off gee;2025-03-10T19:50:46
10;23537.11;6132.77;1080.44;31297.17;pace;beyond wordy;2025-03-11T04:51:42
