id;description;order_type;order_status;in_warranty;is_free;is_spare_needed;confirmed_time;closed_time;service_charge;tax;total_spare_charges;total_spare_tax;total_charges;total_payment_done;customer_invoice_path;nps;priority;is_active;createdd_by;created_time;updated_by;updated_time
1;gosh colorfully;REPAIR;CREATED;true;false;true;2025-03-11T09:30:53;2025-03-11T07:33:28;23871.85;23224.99;3625.57;21998.11;25668.65;8229.44;victorious including unto;3704.31;15228;true;before patiently detective;2025-03-10T23:12:21;angrily;2025-03-11T02:38:16
2;overcook yahoo wrongly;RETURNVERIFICATION;INPROGRESS;false;false;false;2025-03-10T22:34:03;2025-03-11T05:21:41;26876.44;9223.75;5635.92;2564.91;5732.79;21448.53;drat yearningly;18260.31;13355;true;minor which;2025-03-11T08:23:35;approach uh-huh swelter;2025-03-11T14:30:41
3;of;UNINSTALLATION;INPROGRESS;false;false;false;2025-03-10T21:44:38;2025-03-11T10:27:20;5868.68;19933.71;5092.76;19369.26;3148.26;20043.52;rosin;4561.77;14357;true;axe practical phooey;2025-03-10T18:45:46;drat apud;2025-03-11T11:16:19
4;yum;INSTALLATION;COMPLETED;false;false;false;2025-03-10T20:57:43;2025-03-11T13:16:49;11658.95;31152.88;31685.59;27260.46;30336.91;14478.75;before worth;683.43;21938;false;dental;2025-03-11T12:53:18;delight;2025-03-11T00:08:57
5;colorfully pick;UNINSTALLATION;CANCELED;true;true;false;2025-03-11T17:36:17;2025-03-10T19:22:42;17687.68;23145.49;31545.01;28569.03;21925.51;18628.82;actual drat;13457.65;12132;false;generally upwardly whose;2025-03-11T11:19:13;patroller now;2025-03-11T11:43:01
6;limply especially;INSTALLATION;WAITINGFORSPARE;true;true;false;2025-03-11T17:06:20;2025-03-11T02:06:07;8004.28;30656.1;4924.56;18300.13;26407.17;30774.23;beard;24543.15;27714;false;fooey afford;2025-03-10T20:29:55;pulverize consequently;2025-03-11T16:57:58
7;gee;PERIODICMAINTENANCE;WAITINGFORSPARE;false;true;true;2025-03-11T08:44:00;2025-03-11T01:06:02;30422.1;13344.55;20780.18;8089.33;20460.19;11638.11;justly;6001.16;27414;false;speedy what yieldingly;2025-03-11T14:33:57;blank save;2025-03-11T04:06:05
8;lone;INSTALLATION;WAITINGFORSPARE;true;true;false;2025-03-11T07:52:45;2025-03-11T14:56:36;29591.88;12315.25;1297.58;15876.15;14328.8;22409.31;eek;13289.25;18221;false;reluctantly;2025-03-11T14:13:53;charm what;2025-03-11T14:36:48
9;wicked valentine;PERIODICMAINTENANCE;INPROGRESS;false;false;false;2025-03-11T05:43:05;2025-03-10T21:31:51;7208.51;23986.73;876.45;27835.22;28911.62;8557.73;swiftly owlishly frenetically;4781.13;11149;true;provided courageously;2025-03-11T06:15:21;in supposing;2025-03-11T11:09:48
10;cruelty silently across;INSTALLATION;CANCELED;true;false;false;2025-03-10T22:41:49;2025-03-11T08:54:34;14392.12;30044.63;12079.91;25933.8;26252.7;17200.79;as qua mid;30062.33;706;false;bah animated nice;2025-03-11T05:54:59;like unimportant;2025-03-11T06:46:01
