id;service_order_assignment_status;nps;is_active;assigned_time;moved_back_time;visit_time;spare_order_time;spare_delivery_time;completed_time;completion_otp;cancellation_otp;franchise_commision;franchise_commision_tax;franchise_invoice_path;createdd_by;created_time;updated_by;updated_time
1;MOVEDBACK;29593;false;2025-03-11T11:34:46;2025-03-11T13:51:34;2025-03-11T17:13:38;2025-03-11T03:58:37;2025-03-11T12:33:35;2025-03-11T14:10:11;1080;22025;1347;26812.18;including whoa yahoo;t-shirt though;2025-03-11T10:36:00;alarmed as muffled;2025-03-11T17:48:40
2;CANCELED;11019;false;2025-03-10T19:32:28;2025-03-11T15:30:59;2025-03-11T03:39:50;2025-03-11T12:43:51;2025-03-11T15:22:53;2025-03-11T05:17:14;18989;17286;18362.36;3126.61;metallic anti;piglet;2025-03-11T16:50:39;scrap;2025-03-11T06:20:46
3;ASSIGNED;2717;false;2025-03-10T23:20:40;2025-03-11T08:36:48;2025-03-10T21:52:19;2025-03-10T23:32:45;2025-03-11T01:13:49;2025-03-11T16:54:09;4410;28668;4208.86;22335.45;than but;a;2025-03-11T17:40:14;supposing draft scary;2025-03-11T15:35:02
4;CANCELED;10957;false;2025-03-11T08:31:16;2025-03-11T11:07:30;2025-03-11T01:52:20;2025-03-11T13:11:24;2025-03-11T18:07:05;2025-03-11T06:58:39;24941;5014;9684.02;3081.1;outgoing;worriedly toward;2025-03-10T21:21:03;lovely overreact;2025-03-10T21:46:36
5;CANCELED;5232;false;2025-03-10T20:38:30;2025-03-11T13:08:32;2025-03-11T01:48:33;2025-03-11T06:49:04;2025-03-10T22:51:25;2025-03-11T16:59:13;25998;21363;16651.63;7340.95;assail midst;wallaby;2025-03-11T04:20:05;ick;2025-03-11T04:50:29
6;MOVEDBACK;12222;true;2025-03-11T15:50:41;2025-03-10T19:41:47;2025-03-10T21:30:27;2025-03-10T21:29:23;2025-03-10T20:00:14;2025-03-11T10:19:57;30052;9978;22649.88;21346.48;gray silky anenst;likewise yesterday typify;2025-03-11T09:28:56;bonnet;2025-03-11T01:42:51
7;COMPLETED;15593;false;2025-03-11T07:58:11;2025-03-10T21:33:27;2025-03-11T14:02:25;2025-03-11T05:01:42;2025-03-11T14:28:34;2025-03-11T03:37:56;5501;7107;23044.1;9424.56;woot quickly;gleefully;2025-03-10T19:13:33;importance;2025-03-10T21:05:18
8;ASSIGNED;32705;false;2025-03-11T04:06:59;2025-03-11T03:24:31;2025-03-11T11:44:41;2025-03-10T21:08:17;2025-03-11T06:17:31;2025-03-11T08:16:55;10771;20484;20139.06;23433.35;consequently;reckon step-mother;2025-03-11T14:04:31;bah access triangular;2025-03-11T07:36:11
9;MOVEDBACK;32194;false;2025-03-11T05:49:17;2025-03-11T16:09:59;2025-03-11T06:42:21;2025-03-11T10:45:53;2025-03-11T03:38:53;2025-03-11T12:29:08;4728;27841;17553.1;17051.83;governance;accidentally hoick;2025-03-11T06:33:11;fail oof;2025-03-11T05:23:17
10;MOVEDBACK;191;false;2025-03-10T20:53:50;2025-03-11T13:37:40;2025-03-10T18:59:17;2025-03-11T06:34:22;2025-03-11T02:08:18;2025-03-10T18:57:36;18191;6771;26801.16;29317.66;circa gee beep;considering amongst;2025-03-11T12:01:20;sleepily gosh quirkily;2025-03-11T17:09:56
