id;service_order_assignment_status;nps;is_active;assigned_time;moved_back_time;visit_time;spare_order_time;spare_delivery_time;completed_time;completion_otp;cancellation_otp;createdd_by;created_time;updated_by;updated_time
1;COMPLETEDAPPROVED;5929;true;2025-03-11T12:41:06;2025-03-11T15:57:13;2025-03-11T10:28:28;2025-03-11T10:57:55;2025-03-11T12:09:25;2025-03-11T04:43:49;6122;30746;past where;2025-03-11T02:33:34;thread gosh;2025-03-11T17:34:34
2;CANCELATIONINIT;20862;false;2025-03-11T01:56:20;2025-03-11T15:49:43;2025-03-10T20:05:31;2025-03-10T22:42:43;2025-03-11T08:00:29;2025-03-10T22:15:27;1167;4123;obediently anenst;2025-03-11T13:24:26;once howl;2025-03-11T04:43:41
3;CANCELATIONAPPROVED;24019;false;2025-03-11T00:44:24;2025-03-11T14:00:46;2025-03-11T14:20:29;2025-03-11T16:16:19;2025-03-11T03:01:23;2025-03-10T21:59:23;12574;6833;so;2025-03-11T02:48:58;enraged;2025-03-11T08:00:24
4;COMPLETEDINIT;14523;false;2025-03-11T13:57:29;2025-03-11T16:35:44;2025-03-10T22:42:54;2025-03-11T02:55:05;2025-03-11T07:24:20;2025-03-11T13:03:10;14367;732;more;2025-03-11T13:53:22;excluding;2025-03-11T02:00:30
5;ASSIGNED;30750;false;2025-03-11T19:06:02;2025-03-11T17:16:48;2025-03-11T02:12:37;2025-03-10T21:58:16;2025-03-11T01:08:15;2025-03-11T13:53:39;28320;23118;rarely;2025-03-10T23:12:13;always slope;2025-03-11T16:19:36
6;ASSIGNED;285;true;2025-03-11T06:25:24;2025-03-11T09:19:22;2025-03-11T15:39:05;2025-03-11T03:39:37;2025-03-10T21:13:07;2025-03-11T06:40:28;20653;28891;after ouch boo;2025-03-11T03:00:36;blah;2025-03-11T16:18:19
7;COMPLETEDAPPROVED;19154;true;2025-03-11T06:44:03;2025-03-11T06:35:09;2025-03-11T01:26:40;2025-03-11T00:32:44;2025-03-11T19:07:24;2025-03-11T08:59:38;17610;16202;heroine;2025-03-11T18:45:58;waterspout;2025-03-11T14:49:13
8;ASSIGNED;13341;false;2025-03-11T09:43:00;2025-03-11T03:02:49;2025-03-11T13:41:34;2025-03-10T21:44:01;2025-03-10T20:49:58;2025-03-11T11:17:32;20253;11766;annually;2025-03-10T19:43:53;portray duh pish;2025-03-11T09:46:27
9;COMPLETEDINIT;4496;true;2025-03-11T15:33:39;2025-03-11T11:18:43;2025-03-11T08:25:44;2025-03-11T18:29:04;2025-03-11T13:56:43;2025-03-11T13:13:35;10225;17628;aw;2025-03-11T06:01:09;clean hydrolyze;2025-03-11T05:46:36
10;MOVEDBACK;32638;true;2025-03-10T19:20:15;2025-03-11T08:56:16;2025-03-11T08:15:20;2025-03-11T11:43:34;2025-03-11T03:39:16;2025-03-11T15:34:31;7103;7818;continually attribute;2025-03-11T16:16:51;disclosure democratize valentine;2025-03-11T17:30:23
