id;service_order_assignment_status;nps;is_active;assigned_time;moved_back_time;visit_time;spare_order_time;spare_delivery_time;completed_time;completion_otp;cancellation_otp;franchise_commision;franchise_commision_tax;franchise_invoice_path;createdd_by;created_time;updated_by;updated_time
1;COMPLETED;32182;false;2025-03-11T08:47:33;2025-03-11T17:19:55;2025-03-11T09:31:12;2025-03-11T04:20:04;2025-03-11T10:18:43;2025-03-11T12:04:47;16555;22603;11553.08;22118.59;about;countess yum yippee;2025-03-11T12:37:08;provided along that;2025-03-11T16:36:03
2;COMPLETED;21811;true;2025-03-11T04:36:18;2025-03-11T09:30:52;2025-03-11T09:05:54;2025-03-11T13:56:59;2025-03-11T18:11:04;2025-03-11T09:31:20;21418;23210;12521.19;4268.24;humor;supposing orchestrate;2025-03-11T00:23:55;ostrich upon;2025-03-11T13:59:48
3;MOVEDBACK;26713;false;2025-03-11T15:24:22;2025-03-11T03:17:29;2025-03-11T14:59:24;2025-03-11T06:42:14;2025-03-11T17:04:31;2025-03-11T01:07:22;8481;30106;16737.8;19448.27;reach qua satisfy;upwardly fooey;2025-03-11T00:19:09;worth;2025-03-11T13:54:33
4;ASSIGNED;19822;false;2025-03-11T11:05:32;2025-03-11T10:30:08;2025-03-10T18:56:33;2025-03-11T18:15:11;2025-03-11T01:52:08;2025-03-11T11:23:03;7719;3251;9115.89;15410.22;purse;and;2025-03-11T00:10:43;ugh likewise;2025-03-10T21:50:44
5;MOVEDBACK;15712;false;2025-03-11T08:52:00;2025-03-11T15:53:58;2025-03-11T11:03:14;2025-03-11T14:12:54;2025-03-11T03:45:50;2025-03-11T05:15:30;23371;6621;8719.91;15200.25;openly;uh-huh round;2025-03-11T13:22:35;whether more cram;2025-03-11T01:31:11
6;MOVEDBACK;15593;true;2025-03-10T21:45:07;2025-03-11T08:27:11;2025-03-11T06:21:49;2025-03-11T08:23:17;2025-03-10T20:32:00;2025-03-11T05:44:39;28021;10847;11263.55;20270.39;till since yet;import vice meanwhile;2025-03-11T15:55:51;attest ick;2025-03-11T15:26:26
7;COMPLETED;23754;false;2025-03-11T06:56:31;2025-03-10T23:09:56;2025-03-11T14:05:00;2025-03-11T11:18:20;2025-03-11T15:28:20;2025-03-10T19:26:19;4772;4294;25615.17;21004.95;abaft out;smarten mid;2025-03-11T15:28:15;yahoo ew plus;2025-03-10T21:19:24
8;ASSIGNED;22330;true;2025-03-11T10:07:31;2025-03-11T00:06:28;2025-03-11T13:32:47;2025-03-11T17:05:07;2025-03-11T02:28:29;2025-03-11T01:56:46;1105;19569;19905.36;14066.41;yum;naturally;2025-03-11T04:53:25;amid incidentally;2025-03-11T06:28:14
9;COMPLETED;25019;true;2025-03-11T12:15:18;2025-03-11T18:41:23;2025-03-11T07:38:35;2025-03-11T00:00:18;2025-03-11T03:53:47;2025-03-10T19:29:41;20267;18753;14929.67;32590.51;gosh;excluding finished institute;2025-03-11T04:22:39;circa phooey;2025-03-11T07:28:22
10;CANCELED;25869;true;2025-03-11T14:53:06;2025-03-11T03:08:58;2025-03-11T09:28:56;2025-03-10T20:54:55;2025-03-11T17:00:44;2025-03-11T17:15:15;1336;6809;17431.93;918.21;sleepily even whose;rarely certification;2025-03-11T14:25:50;a frenetically;2025-03-11T09:54:23
