id;service_order_type;sla_in_hours;charge;tax;franchise_commission_within_sla;franchise_tax_within_sla_tax;franchise_commission_outside_sla;franchise_tax_outside_sla_tax;is_active;createdd_by;created_time;updated_by;updated_time
1;UNINSTALLATION;18349;1686.45;1200.2;27700.83;24456.78;1870.43;29299.79;true;whenever ack;2025-03-11T06:11:56;rally;2025-03-11T16:00:32
2;PERIODICMAINTENANCE;11841;14373.81;21700.12;18379.73;8641.55;13954.41;4338.94;true;trusting yawn slink;2025-03-11T06:09:59;gracious;2025-03-11T18:06:55
3;RETURNVERIFICATION;1775;10787.51;23963.31;32066.93;3670.94;220.07;9362.72;false;overdub;2025-03-10T20:55:21;demob meaningfully;2025-03-11T05:04:23
4;UNINSTALLATION;3961;2973.37;2997.39;7125.26;15854.37;30503.97;12827.56;true;monstrous;2025-03-11T07:11:38;woot almost excellent;2025-03-11T15:14:09
5;INSTALLATION;18694;20985.43;31298.22;30802.96;2659.49;19918.92;26127.99;false;slake unique;2025-03-10T19:43:52;reach parody;2025-03-11T04:12:57
6;PERIODICMAINTENANCE;8257;27946.81;31947.85;23280.29;22641.17;24545.2;365.41;false;deduct but;2025-03-11T03:44:08;recount scratch;2025-03-10T22:08:40
7;UNINSTALLATION;13404;32514.66;7027.13;20417.38;12676.57;15769.41;6691.86;true;taut gah shred;2025-03-10T22:32:02;at veg;2025-03-10T19:48:46
8;REPAIR;919;22890.07;30946.29;23943.69;15494.74;32391.26;23663.26;true;acidly;2025-03-11T08:35:20;huzzah;2025-03-11T08:38:36
9;INSTALLATION;28139;20618.44;8091.04;628.93;6832.76;6082.18;26387.31;false;motionless eek;2025-03-10T22:39:07;investigate though onto;2025-03-11T02:34:55
10;INSTALLATION;19593;2313.69;22426.73;12430.72;9666.95;20482.19;4401.48;false;slake biodegradable soon;2025-03-10T19:14:58;complete all since;2025-03-10T22:53:50
