id;price;tax;total_charge;franchise_commision;franchise_commision_tax;ordered_from;spare_status;createdd_by;created_time;updated_by;updated_time
1;13051.66;4211.84;15644.62;19053.26;519.04;ENGINEER;INSTALLED;worldly atop absentmindedly;2025-03-11T09:45:33;nor extremely;2025-03-11T05:48:39
2;28376.75;14535;6699.9;17526.12;17981.44;ENGINEER;PAYMENTSUCCESS;apparatus enlightened buzzing;2025-03-11T02:49:30;mobilise;2025-03-11T00:34:42
3;15469.08;32624.31;1406.33;20537.03;29119.19;FRANCHISE;SPAREORDERED;ostrich;2025-03-10T23:41:38;glider livid;2025-03-11T18:08:02
4;3681.79;12776.69;11686.03;14710.77;8359.89;MOTHERCOMPANY;SPAREORDERED;sharply versus like;2025-03-11T03:43:04;meh;2025-03-10T23:09:34
5;26160.3;4250;29887.53;1590.33;16806.21;MOTHERCOMPANY;PAYMENTINIT;phew famously burly;2025-03-11T03:30:50;like;2025-03-11T12:05:14
6;3471.69;19846.92;12669.06;20338.52;14721.23;ENGINEER;PAYMENTFAILED;coolly requirement concerned;2025-03-10T19:24:20;wring er worth;2025-03-10T21:22:38
7;7309.86;27164.87;14411.46;27880.67;4509.2;ENGINEER;PAYMENTSUCCESS;outside noteworthy wonderfully;2025-03-11T16:59:21;diver bend;2025-03-11T03:39:52
8;22233.39;26372.05;27786.9;18911.86;15810.65;ENGINEER;PAYMENTFAILED;unbalance commonly;2025-03-11T02:32:02;incidentally;2025-03-11T01:01:56
9;14596.82;31960.36;30189.05;20558.44;19035.14;ENGINEER;PAYMENTSUCCESS;around nervously whereas;2025-03-11T03:44:27;an what;2025-03-11T02:20:02
10;5166.5;1901.95;3087.75;11966.85;31184.82;ENGINEER;SPAREDELIVERED;before;2025-03-11T03:11:59;while wiggly fine;2025-03-11T01:52:02
