id;price;tax;franchise_commission;franchise_tax;updated_by;updated_time
1;10338.22;14419.66;15434.87;13059.64;notwithstanding;2025-03-11T10:13:03
2;9815.32;21262.29;323.53;5323.77;unless overdue entice;2025-03-11T01:56:20
3;14270.82;14556.59;25526.97;2270.35;hopelessly attest;2025-03-11T12:13:34
4;12161.85;714.83;4179.3;8942.66;softly now descendant;2025-03-11T09:11:02
5;9584.01;6339.33;29191.64;20347;geez vary;2025-03-10T18:16:30
6;8912.84;25962.48;21444.92;29079.63;inquisitively optimistically heartfelt;2025-03-11T07:02:22
7;4936.72;14889.49;13887.06;23242.05;sharply;2025-03-10T22:46:36
8;23885.98;20388.42;21423.56;20397.71;athwart boastfully;2025-03-10T18:49:15
9;25960.58;5616.91;29457.03;4201.39;prance;2025-03-11T01:43:14
10;29281.68;26208.96;14363.08;32253.89;meh;2025-03-11T14:16:16
